RCEPT_DE,LANG_FLAG_NM,CNSLT_LCLAS_NM,CNSLT_MLSFC_NM,CNSLT_SCLAS_NM,CNSLT_KWRD_RN1_NM,CNSLT_KWRD_RN2_NM,CNSLT_KWRD_RN3_NM,CNSLT_KWRD_RN4_NM,CNSLT_KWRD_RN5_NM,CNSLT_TY_NM,TOUR_PURPS_NM,COURS_NM,CSTMR_INCLN_NM,CHNNEL_FLAG_NM,TALK_FLAG_NM,STATE_NM,UPDT_DE
20230701,한국어,교통,항공&배편,도내배편,성산,우도,성산항,운항,,일반,휴양 및 관광,홈페이지,일반,기타,아웃바운드,완료,20230703
20230701,한국어,교통,항공&배편,도내배편,우도,종달리항,운항,,,일반,휴양 및 관광,홈페이지,일반,기타,아웃바운드,완료,20230703
20230701,영어,교통,택시,글로벌택시,해녀,성산,일출봉,유선,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230701
20230701,한국어,교통,항공&배편,항공,카페,,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230701
20230701,영어,교통,택시,글로벌택시,유선,택시,글로벌,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230701
20230702,한국어,교통,항공&배편,도내배편,우도,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230702
20230702,한국어,교통,항공&배편,도내배편,성산,우도,성산항,운항,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230702
20230702,한국어,교통,항공&배편,도내배편,우도,,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230702
20230702,한국어,교통,항공&배편,도내배편,우도,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230702
20230702,한국어,교통,항공&배편,도내배편,물품보관,운영시간,성산,무료,보관,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230702
20230703,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230703
20230703,한국어,교통,항공&배편,도내배편,종달리항,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230703
20230703,한국어,교통,항공&배편,도내배편,우도,문의처,종달리항,운항,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230703
20230703,한국어,교통,항공&배편,입도배편,문자,제주도청,서귀포,제주,강정,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230703
20230704,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230704
20230704,한국어,교통,항공&배편,도내배편,우도,종달리항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230704
20230704,한국어,교통,항공&배편,입도배편,항일,문자,제주도청,서귀포,제주,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230704
20230704,한국어,교통,버스,버스운영정보,문자,한라,함덕,제주,이용,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230704
20230704,한국어,교통,버스,이용안내,자연휴양림,절물자연휴양림,자연,절물자연,문자,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230704
20230704,한국어,교통,버스,이용안내,한라수목원,문자,요금,오일장,수목원,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230704
20230704,한국어,교통,택시,글로벌택시,택시,글로벌,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230704
20230704,영어,교통,항공&배편,입도배편,온라인,제주,,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230704
20230704,한국어,교통,택시,글로벌택시,외국인,문자,제주,관광정보,택시,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230704
20230704,영어,교통,항공&배편,입도배편,외국인,제주,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230704
20230704,영어,교통,항공&배편,입도배편,온라인,유선,제주,,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230704
20230704,한국어,교통,항공&배편,입도배편,외국어,현장,외국인,안전,이용,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230727
20230704,한국어,교통,항공&배편,입도배편,외국인,렌터카,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230704
20230705,한국어,교통,항공&배편,도내배편,우도,요금,제주,선적,,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230705
20230705,한국어,교통,항공&배편,도내배편,종달리항,운항,,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230705
20230705,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230705
20230705,한국어,교통,항공&배편,도내배편,성산,성산항,운항,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230705
20230705,한국어,교통,버스,이용안내,문자,성이시돌,한림,제주,이용,일반,휴양 및 관광,홈페이지,일반,전화,인바운드,완료,20230705
20230705,한국어,교통,항공&배편,입도배편,외국인,제주,선적,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230705
20230705,한국어,교통,항공&배편,입도배편,외국인,제주,선적,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230705
20230705,한국어,교통,항공&배편,입도배편,외국인,제주,선적,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230705
20230705,한국어,교통,항공&배편,입도배편,사전예약,제주,방문,,,일반,휴양 및 관광,홈페이지,일반,전화,아웃바운드,완료,20230705
